"Community","Perspective_Identity_Attack","probability_of_user_finding_comment_sexist"
"A",0.01,0.350449213416664
"A",0.02,0.365014762143234
"A",0.03,0.379831688829217
"A",0.04,0.394876047211265
"A",0.05,0.410122224184673
"A",0.06,0.425543094688222
"A",0.07,0.441110199989455
"A",0.08,0.456793947164316
"A",0.09,0.472563827000013
"A",0.1,0.488388647044548
"A",0.11,0.504236776101247
"A",0.12,0.520076396139928
"A",0.13,0.535875757382203
"A",0.14,0.551603432226142
"A",0.15,0.567228563709331
"A",0.16,0.582721104367595
"A",0.17,0.598052041622492
"A",0.18,0.613193606212
"A",0.19,0.628119460649313
"A",0.2,0.642804865234713
"A",0.21,0.657226819733153
"A",0.22,0.67136417944283
"A",0.23,0.685197744994916
"A",0.24,0.698710325820754
"A",0.25,0.71188677778116
"A",0.26,0.724714015957424
"A",0.27,0.737181004042612
"A",0.28,0.749278722136648
"A",0.29,0.761000115034441
"A",0.3,0.772340023302079
"A",0.31,0.783295099563764
"A",0.32,0.79386371247664
"A",0.33,0.804045840858723
"A",0.34,0.813842960365372
"A",0.35,0.823257924991432
"A",0.36,0.832294845519175
"A",0.37,0.84095896684618
"A",0.38,0.849256545921635
"A",0.39,0.857194731802608
"A",0.4,0.864781449121327
"A",0.41,0.872025286036684
"A",0.42,0.878935387533495
"A",0.43,0.885521354735486
"A",0.44,0.89179315071574
"A",0.45,0.897761013123365
"A",0.46,0.903435373798704
"A",0.47,0.908826785421847
"A",0.48,0.913945855130458
"A",0.49,0.918803184952111
"A",0.5,0.923409318822661
"A",0.51,0.927774695904049
"A",0.52,0.931909609871137
"A",0.53,0.935824173805938
"A",0.54,0.939528290317453
"A",0.55,0.943031626494688
"A",0.56,0.946343593297762
"A",0.57,0.949473328996031
"A",0.58,0.95242968627147
"A",0.59,0.955221222619132
"A",0.6,0.957856193693247
"A",0.61,0.960342549266574
"A",0.62,0.96268793149128
"A",0.63,0.964899675171122
"A",0.64,0.96698480977663
"A",0.65,0.968950062956877
"A",0.66,0.970801865322842
"A",0.67,0.972546356298217
"A",0.68,0.974189390853356
"A",0.69,0.97573654695702
"A",0.7,0.977193133598303
"A",0.71,0.978564199247718
"A",0.72,0.979854540641811
"A",0.73,0.981068711789848
"A",0.74,0.982211033114081
"A",0.75,0.98328560064697
"A",0.76,0.984296295219428
"A",0.77,0.985246791583872
"A",0.78,0.986140567424545
"A",0.79,0.986980912215351
"A",0.8,0.987770935892367
"A",0.81,0.988513577314347
"A",0.82,0.989211612489924
"A",0.83,0.989867662554986
"A",0.84,0.990484201487846
"A",0.85,0.991063563553452
"A",0.86,0.991607950470988
"A",0.87,0.992119438301923
"A",0.88,0.992599984057842
"A",0.89,0.993051432029348
"A",0.9,0.993475519838961
"A",0.91,0.993873884222277
"A",0.92,0.994248066542811
"A",0.93,0.994599518046813
"A",0.94,0.994929604865096
"A",0.95,0.995239612769452
"A",0.96,0.99553075169168
"A",0.97,0.995804160013522
"A",0.98,0.99606090863601
"A",0.99,0.996302004836832
"C",0.01,0.156503242388359
"C",0.02,0.165056246707507
"C",0.03,0.173980266399207
"C",0.04,0.183280864004017
"C",0.05,0.192962504854382
"C",0.06,0.203028434413634
"C",0.07,0.213480556192059
"C",0.08,0.224319312113884
"C",0.09,0.235543567401898
"C",0.1,0.24715050221318
"C",0.11,0.259135512390385
"C",0.12,0.271492121778452
"C",0.13,0.284211908586924
"C",0.14,0.297284448244381
"C",0.15,0.310697275086514
"C",0.16,0.32443586503747
"C",0.17,0.338483641182481
"C",0.18,0.352822003788379
"C",0.19,0.367430385911233
"C",0.2,0.382286335244126
"C",0.21,0.397365622314307
"C",0.22,0.412642374552379
"C",0.23,0.428089235144774
"C",0.24,0.44367754496512
"C",0.25,0.45937754528253
"C",0.26,0.475158598388033
"C",0.27,0.490989422786778
"C",0.28,0.506838339193526
"C",0.29,0.522673523259897
"C",0.3,0.538463260767179
"C",0.31,0.554176200946798
"C",0.32,0.569781603645027
"C",0.33,0.585249576226713
"C",0.34,0.600551296406832
"C",0.35,0.615659217595924
"C",0.36,0.630547253828765
"C",0.37,0.645190941895017
"C",0.38,0.659567578884004
"C",0.39,0.673656333970207
"C",0.4,0.687438333879375
"C",0.41,0.700896722066221
"C",0.42,0.714016692185314
"C",0.43,0.726785496931575
"C",0.44,0.739192433754177
"C",0.45,0.751228809299695
"C",0.46,0.762887884713061
"C",0.47,0.774164804117518
"C",0.48,0.785056508710096
"C",0.49,0.795561638952101
"C",0.5,0.805680427312142
"C",0.51,0.815414583940749
"C",0.52,0.824767177530365
"C",0.53,0.833742513452005
"C",0.54,0.842346011070126
"C",0.55,0.850584081929083
"C",0.56,0.858464010286629
"C",0.57,0.865993837249373
"C",0.58,0.873182249548328
"C",0.59,0.880038473784703
"C",0.6,0.886572176780901
"C",0.61,0.892793372492135
"C",0.62,0.898712335772094
"C",0.63,0.904339523142744
"C",0.64,0.909685500593912
"C",0.65,0.914760878332507
"C",0.66,0.9195762523134
"C",0.67,0.92414215231285
"C",0.68,0.928468996249801
"C",0.69,0.932567050418659
"C",0.7,0.93644639526791
"C",0.71,0.940116896340424
"C",0.72,0.943588179982074
"C",0.73,0.946869613423812
"C",0.74,0.949970288847339
"C",0.75,0.952899011054558
"C",0.76,0.955664288375198
"C",0.77,0.958274326464154
"C",0.78,0.960737024659468
"C",0.79,0.9630599745927
"C",0.8,0.965250460765045
"C",0.81,0.967315462824523
"C",0.82,0.969261659301348
"C",0.83,0.971095432579991
"C",0.84,0.972822874907073
"C",0.85,0.97444979525401
"C",0.86,0.975981726872019
"C",0.87,0.977423935394702
"C",0.88,0.978781427359778
"C",0.89,0.980058959036753
"C",0.9,0.981261045461277
"C",0.91,0.982391969589716
"C",0.92,0.983455791499155
"C",0.93,0.984456357568551
"C",0.94,0.985397309586329
"C",0.95,0.986282093738198
"C",0.96,0.987113969436649
"C",0.97,0.987896017960343
"C",0.98,0.988631150877644
"C",0.99,0.989322118233828
"B",0.01,0.198671645175374
"B",0.02,0.2089582820214
"B",0.03,0.219631550243839
"B",0.04,0.230691003820845
"B",0.05,0.242134557083954
"B",0.06,0.253958381270573
"B",0.07,0.266156811585887
"B",0.08,0.278722267248726
"B",0.09,0.291645186990651
"B",0.1,0.304913982403868
"B",0.11,0.318515011385163
"B",0.12,0.33243257369567
"B",0.13,0.34664893034891
"B",0.14,0.361144348153903
"B",0.15,0.375897170282367
"B",0.16,0.390883913208206
"B",0.17,0.406079389797256
"B",0.18,0.421456857722061
"B",0.19,0.436988191759985
"B",0.2,0.452644077924864
"B",0.21,0.468394226805351
"B",0.22,0.484207602959809
"B",0.23,0.500052666769439
"B",0.24,0.515897624797073
"B",0.25,0.531710684454125
"B",0.26,0.547460308653101
"B",0.27,0.563115466123529
