"Community","Perspective_Profanity","probability_of_user_finding_comment_sexist"
"A",0.01,0.551351890742455
"A",0.02,0.554705312401867
"A",0.03,0.558053760340792
"A",0.04,0.561396938191303
"A",0.05,0.564734551485931
"A",0.06,0.568066307758953
"A",0.07,0.571391916646152
"A",0.08,0.574711089982995
"A",0.09,0.578023541901159
"A",0.1,0.581328988923326
"A",0.11,0.584627150056205
"A",0.12,0.587917746881697
"A",0.13,0.591200503646164
"A",0.14,0.594475147347727
"A",0.15,0.597741407821559
"A",0.16,0.600999017823098
"A",0.17,0.604247713109154
"A",0.18,0.607487232516842
"A",0.19,0.610717318040317
"A",0.2,0.61393771490525
"A",0.21,0.617148171641029
"A",0.22,0.620348440150617
"A",0.23,0.623538275778076
"A",0.24,0.626717437373683
"A",0.25,0.629885687356641
"A",0.26,0.633042791775347
"A",0.27,0.636188520365198
"A",0.28,0.63932264660391
"A",0.29,0.64244494776434
"A",0.3,0.645555204964797
"A",0.31,0.648653203216825
"A",0.32,0.651738731470446
"A",0.33,0.654811582656876
"A",0.34,0.657871553728682
"A",0.35,0.660918445697406
"A",0.36,0.663952063668641
"A",0.37,0.666972216874565
"A",0.38,0.669978718703947
"A",0.39,0.672971386729627
"A",0.4,0.675950042733485
"A",0.41,0.678914512728908
"A",0.42,0.68186462698078
"A",0.43,0.684800220023002
"A",0.44,0.68772113067357
"A",0.45,0.690627202047232
"A",0.46,0.693518281565743
"A",0.47,0.696394220965757
"A",0.48,0.699254876304368
"A",0.49,0.702100107962339
"A",0.5,0.704929780645057
"A",0.51,0.707743763381231
"A",0.52,0.710541929519382
"A",0.53,0.713324156722155
"A",0.54,0.716090326958496
"A",0.55,0.718840326493727
"A",0.56,0.721574045877562
"A",0.57,0.72429137993011
"A",0.58,0.726992227725904
"A",0.59,0.729676492575996
"A",0.6,0.732344082008175
"A",0.61,0.734994907745344
"A",0.62,0.737628885682103
"A",0.63,0.740245935859591
"A",0.64,0.742845982438634
"A",0.65,0.745428953671242
"A",0.66,0.747994781870512
"A",0.67,0.750543403378987
"A",0.68,0.753074758535508
"A",0.69,0.755588791640631
"A",0.7,0.75808545092064
"A",0.71,0.760564688490224
"A",0.72,0.76302646031385
"A",0.73,0.765470726165907
"A",0.74,0.767897449589649
"A",0.75,0.770306597855005
