"Community","Perspective_Toxicity","probability_of_user_finding_comment_sexist"
"A",0.01,0.405962574900569
"A",0.02,0.41249988367375
"A",0.03,0.419068199454901
"A",0.04,0.425665325560638
"A",0.05,0.43228902484589
"A",0.06,0.438937022607177
"A",0.07,0.445607009597252
"A",0.08,0.452296645143009
"A",0.09,0.459003560358008
"A",0.1,0.465725361440502
"A",0.11,0.472459633047394
"A",0.12,0.479203941734176
"A",0.13,0.485955839450533
"A",0.14,0.49271286708102
"A",0.15,0.499472558019981
"A",0.16,0.506232441769686
"A",0.17,0.512990047550548
"A",0.18,0.519742907912217
"A",0.19,0.526488562334335
"A",0.2,0.53322456080581
"A",0.21,0.539948467371551
"A",0.22,0.546657863635818
"A",0.23,0.553350352211524
"A",0.24,0.56002356010516
"A",0.25,0.566675142027308
"A",0.26,0.573302783619119
"A",0.27,0.57990420458557
"A",0.28,0.586477161726767
"A",0.29,0.593019451859113
"A",0.3,0.599528914618678
"A",0.31,0.60600343513973
"A",0.32,0.61244094660197
"A",0.33,0.61883943264066
"A",0.34,0.625196929614499
"A",0.35,0.631511528726742
"A",0.36,0.637781377995766
"A",0.37,0.644004684071945
"A",0.38,0.650179713898387
"A",0.39,0.656304796213755
"A",0.4,0.662378322896079
"A",0.41,0.668398750147101
"A",0.42,0.674364599517349
"A",0.43,0.680274458772743
"A",0.44,0.686126982604156
"A",0.45,0.691920893181881
"A",0.46,0.697654980557551
"A",0.47,0.703328102916517
"A",0.48,0.708939186684211
"A",0.49,0.714487226490431
"A",0.5,0.719971284995911
"A",0.51,0.72539049258591
"A",0.52,0.730744046935874
"A",0.53,0.736031212454534
"A",0.54,0.741251319610057
"A",0.55,0.746403764145077
"A",0.56,0.751488006186636
"A",0.57,0.756503569257192
"A",0.58,0.761450039192962
"A",0.59,0.766327062975975
"A",0.6,0.771134347486195
"A",0.61,0.775871658180157
"A",0.62,0.780538817702468
"A",0.63,0.785135704436552
"A",0.64,0.789662251000866
"A",0.65,0.794118442696798
"A",0.66,0.798504315914275
"A",0.67,0.802819956500986
"A",0.68,0.807065498101001
"A",0.69,0.81124112046833
"A",0.7,0.815347047760821
"A",0.71,0.819383546819589
"A",0.72,0.823350925438923
"A",0.73,0.827249530631435
"A",0.74,0.831079746892956
"A",0.75,0.834841994471462
"A",0.76,0.838536727644069
"A",0.77,0.842164433005892
"A",0.78,0.84572562777433
"A",0.79,0.849220858112075
"A",0.8,0.852650697471922
"A",0.81,0.856015744966214
"A",0.82,0.859316623763507
"A",0.83,0.862553979514825
"A",0.84,0.865728478811641
"A",0.85,0.868840807677502
"A",0.86,0.871891670095014
"A",0.87,0.874881786569664
"A",0.88,0.877811892731807
"A",0.89,0.880682737977922
"A",0.9,0.883495084152054
"A",0.91,0.886249704268231
"A",0.92,0.888947381274415
"A",0.93,0.891588906858464
"A",0.94,0.894175080296362
"A",0.95,0.89670670734291
"A",0.96,0.899184599164871
"A",0.97,0.901609571316506
"A",0.98,0.903982442757282
"A",0.99,0.906304034911457
"C",0.01,0.18424143004343
"C",0.02,0.188340320491314
"C",0.03,0.192508880929741
"C",0.04,0.19674733991323
"C",0.05,0.201055881765954
"C",0.06,0.205434644873945
"C",0.07,0.209883719996428
"C",0.08,0.214403148601644
"C",0.09,0.218992921232726
"C",0.1,0.223652975909357
"C",0.11,0.228383196571114
"C",0.12,0.233183411568523
"C",0.13,0.238053392207997
"C",0.14,0.24299285135691
"C",0.15,0.248001442115143
"C",0.16,0.25307875655949
"C",0.17,0.258224324567327
"C",0.18,0.263437612725935
"C",0.19,0.268718023333853
"C",0.2,0.274064893500521
"C",0.21,0.279477494350403
"C",0.22,0.284955030337633
"C",0.23,0.290496638677015
"C",0.24,0.296101388897045
"C",0.25,0.301768282520313
"C",0.26,0.307496252876407
"C",0.27,0.313284165052056
"C",0.28,0.319130815982934
"C",0.29,0.325034934691098
"C",0.3,0.330995182671632
"C",0.31,0.33701015443156
"C",0.32,0.343078378183616
"C",0.33,0.349198316696888
"C",0.34,0.355368368305811
"C",0.35,0.361586868078384
"C",0.36,0.367852089143852
"C",0.37,0.374162244179488
"C",0.38,0.380515487055413
"C",0.39,0.386909914635786
"C",0.4,0.393343568733938
"C",0.41,0.399814438218435
"C",0.42,0.406320461266292
"C",0.43,0.412859527758936
"C",0.44,0.41942948181582
"C",0.45,0.426028124459957
"C",0.46,0.43265321640897
"C",0.47,0.439302480984677
"C",0.48,0.445973607133624
"C",0.49,0.452664252550407
"C",0.5,0.459372046895129
"C",0.51,0.466094595095852
"C",0.52,0.472829480726431
"C",0.53,0.479574269449776
"C",0.54,0.486326512516213
"C",0.55,0.493083750306317
"C",0.56,0.499843515907395
"C",0.57,0.506603338712575
"C",0.58,0.513360748031362
"C",0.59,0.520113276700456
"C",0.6,0.526858464683613
"C",0.61,0.533593862649424
"C",0.62,0.540317035515946
"C",0.63,0.54702556595136
"C",0.64,0.553717057820005
"C",0.65,0.560389139563479
"C",0.66,0.567039467506783
"C",0.67,0.573665729079923
"C",0.68,0.580265645945788
"C",0.69,0.586836977025622
"C",0.7,0.593377521413916
"C",0.71,0.599885121175111
"C",0.72,0.606357664015082
"C",0.73,0.612793085820994
"C",0.74,0.619189373063755
"C",0.75,0.625544565057944
"C",0.76,0.631856756074765
"C",0.77,0.638124097304257
"C",0.78,0.644344798663651
"C",0.79,0.650517130449485
"C",0.8,0.656639424831726
"C",0.81,0.66271007718883
"C",0.82,0.668727547283344
"C",0.83,0.674690360278248
"C",0.84,0.680597107594916
"C",0.85,0.686446447614092
"C",0.86,0.692237106221933
"C",0.87,0.697967877203628
"C",0.88,0.703637622487675
"C",0.89,0.70924527224434
